Month,Day,Births,binaryClass
1/1/00,1,7701.0,P
1/1/00,2,7527.0,N
1/1/00,3,8825.0,N
1/1/00,4,8859.0,N
1/1/00,5,9043.0,N
1/1/00,6,9208.0,N
1/1/00,7,8084.0,N
1/1/00,8,7611.0,P
1/1/00,9,9172.0,N
1/1/00,10,9089.0,N
1/1/00,11,9210.0,N
1/1/00,12,9259.0,N
1/1/00,13,9138.0,N
1/1/00,14,8299.0,N
1/1/00,15,7771.0,P
1/1/00,16,9458.0,N
1/1/00,17,9339.0,N
1/1/00,18,9120.0,N
1/1/00,19,9226.0,N
1/1/00,20,9305.0,N
1/1/00,21,7954.0,N
1/1/00,22,7560.0,P
1/1/00,23,9252.0,N
1/1/00,24,9416.0,N
1/1/00,25,9090.0,N
1/1/00,26,9387.0,N
1/1/00,27,8983.0,N
1/1/00,28,7946.0,N
1/1/00,29,7527.0,P
1/1/00,30,9184.0,N
1/1/00,31,9152.0,N
2/1/00,1,9159.0,N
2/1/00,2,9218.0,N
2/1/00,3,9167.0,N
2/1/00,4,8065.0,N
2/1/00,5,7804.0,P
2/1/00,6,9225.0,N
2/1/00,7,9328.0,N
2/1/00,8,9139.0,N
2/1/00,9,9247.0,N
2/1/00,10,9527.0,N
2/1/00,11,8144.0,N
2/1/00,12,7950.0,P
2/1/00,13,8966.0,N
2/1/00,14,9859.0,N
2/1/00,15,9285.0,N
2/1/00,16,9103.0,N
2/1/00,17,9238.0,N
2/1/00,18,8167.0,N
2/1/00,19,7695.0,P
2/1/00,20,9021.0,N
2/1/00,21,9252.0,N
2/1/00,22,9335.0,N
2/1/00,23,9268.0,N
2/1/00,24,9552.0,N
2/1/00,25,8313.0,N
2/1/00,26,7881.0,P
2/1/00,27,9262.0,N
2/1/00,28,9705.0,N
3/1/00,1,9132.0,N
3/1/00,2,9304.0,N
3/1/00,3,9431.0,N
3/1/00,4,8008.0,N
3/1/00,5,7791.0,P
3/1/00,6,9294.0,N
3/1/00,7,9573.0,N
3/1/00,8,9212.0,N
3/1/00,9,9218.0,N
3/1/00,10,9583.0,N
3/1/00,11,8144.0,N
3/1/00,12,7870.0,P
3/1/00,13,9022.0,N
3/1/00,14,9525.0,N
3/1/00,15,9284.0,N
3/1/00,16,9327.0,N
